"","name","area","overlap","abbrev_state","perc"
"1","Carmolândia-TO",0.03,0.03,"TO",100
"2","Carrasco Bonito-TO",0.02,0.02,"TO",100
"3","Sampaio-TO",0.02,0.02,"TO",100
"4","Agricolândia-PI",0.01,0.01,"PI",100
"5","Água Branca-PI",0.01,0.01,"PI",100
"6","Alto Longá-PI",0.17,0.17,"PI",100
"7","Angical Do Piauí-PI",0.02,0.02,"PI",100
"8","Aroazes-PI",0.08,0.08,"PI",100
"9","Avelino Lopes-PI",0.13,0.13,"PI",100
"10","Barra D'alcântara-PI",0.03,0.03,"PI",100
"11","Barro Duro-PI",0.01,0.01,"PI",100
"12","Batalha-PI",0.16,0.16,"PI",100
"13","Beneditinos-PI",0.08,0.08,"PI",100
"14","Boa Hora-PI",0.03,0.03,"PI",100
"15","Boqueirão Do Piauí-PI",0.03,0.03,"PI",100
"16","Cabeceiras Do Piauí-PI",0.06,0.06,"PI",100
"17","Campo Maior-PI",0.17,0.17,"PI",100
"18","Capitão De Campos-PI",0.06,0.06,"PI",100
"19","Caraúbas Do Piauí-PI",0.05,0.05,"PI",100
"20","Caxingó-PI",0.05,0.05,"PI",100
"21","Cocal De Telha-PI",0.03,0.03,"PI",100
"22","Coivaras-PI",0.05,0.05,"PI",100
"23","Curralinhos-PI",0.03,0.03,"PI",100
"24","Elesbão Veloso-PI",0.14,0.14,"PI",100
"25","Esperantina-PI",0.09,0.09,"PI",100
"26","Francinópolis-PI",0.03,0.03,"PI",100
"27","Hugo Napoleão-PI",0.02,0.02,"PI",100
"28","Ilha Grande-PI",0.01,0.01,"PI",100
"29","Jardim Do Mulato-PI",0.05,0.05,"PI",100
"30","Jatobá Do Piauí-PI",0.07,0.07,"PI",100
"31","Joaquim Pires-PI",0.07,0.07,"PI",100
"32","Joca Marques-PI",0.02,0.02,"PI",100
"33","Lagoinha Do Piauí-PI",0.01,0.01,"PI",100
"34","Lagoa Do Piauí-PI",0.04,0.04,"PI",100
"35","Miguel Leão-PI",0.01,0.01,"PI",100
"36","Monsenhor Gil-PI",0.06,0.06,"PI",100
"37","Morro Do Chapéu Do Piauí-PI",0.03,0.03,"PI",100
"38","Nossa Senhora De Nazaré-PI",0.04,0.04,"PI",100
"39","Nossa Senhora Dos Remédios-PI",0.04,0.04,"PI",100
"40","Novo Oriente Do Piauí-PI",0.05,0.05,"PI",100
"41","Novo Santo Antônio-PI",0.05,0.05,"PI",100
"42","Olho D'água Do Piauí-PI",0.02,0.02,"PI",100
"43","Palmeirais-PI",0.15,0.15,"PI",100
"44","Passagem Franca Do Piauí-PI",0.09,0.09,"PI",100
"45","Pau D'arco Do Piauí-PI",0.04,0.04,"PI",100
"46","Prata Do Piauí-PI",0.02,0.02,"PI",100
"47","Santa Cruz Dos Milagres-PI",0.1,0.1,"PI",100
"48","São Félix Do Piauí-PI",0.07,0.07,"PI",100
"49","São Gonçalo Do Piauí-PI",0.02,0.02,"PI",100
"50","São João Da Serra-PI",0.1,0.1,"PI",100
"51","São José Do Divino-PI",0.03,0.03,"PI",100
"52","São Miguel Da Baixa Grande-PI",0.04,0.04,"PI",100
"53","São Pedro Do Piauí-PI",0.05,0.05,"PI",100
"54","Sigefredo Pacheco-PI",0.1,0.1,"PI",100
"55","Várzea Grande-PI",0.02,0.02,"PI",100
"56","Parnamirim-RN",0.01,0.01,"RN",100
"57","Espírito Santo-RN",0.01,0.01,"RN",100
"58","Cuité De Mamanguape-PB",0.01,0.01,"PB",100
"59","Itabaiana-PB",0.02,0.02,"PB",100
"60","Pilar-PB",0.01,0.01,"PB",100
"61","São José Dos Ramos-PB",0.01,0.01,"PB",100
"62","Sobrado-PB",0.01,0.01,"PB",100
"63","Angelim-PE",0.01,0.01,"PE",100
"64","Brejão-PE",0.02,0.02,"PE",100
"65","Calçado-PE",0.01,0.01,"PE",100
"66","Cupira-PE",0.01,0.01,"PE",100
"67","Ibirajuba-PE",0.02,0.02,"PE",100
"68","Jucati-PE",0.01,0.01,"PE",100
"69","Jurema-PE",0.01,0.01,"PE",100
"70","Machados-PE",0.01,0.01,"PE",100
"71","Orobó-PE",0.01,0.01,"PE",100
"72","São Joaquim Do Monte-PE",0.02,0.02,"PE",100
"73","São Vicente Ferrer-PE",0.01,0.01,"PE",100
"74","Vicência-PE",0.02,0.02,"PE",100
"75","Coité Do Nóia-AL",0.01,0.01,"AL",100
"76","Canhoba-SE",0.02,0.02,"SE",100
"77","Nossa Senhora De Lourdes-SE",0.01,0.01,"SE",100
"78","São Domingos-SE",0.01,0.01,"SE",100
"79","Carinhanha-BA",0.27,0.27,"BA",100
"80","Feira Da Mata-BA",0.16,0.16,"BA",100
"81","Iuiú-BA",0.15,0.15,"BA",100
"82","Malhada-BA",0.2,0.2,"BA",100
"83","São Félix Do Coribe-BA",0.1,0.1,"BA",100
"84","Serra Do Ramalho-BA",0.26,0.26,"BA",100
"85","Sítio Do Mato-BA",0.18,0.18,"BA",100
"86","Capetinga-MG",0.03,0.03,"MG",100
"87","Capitão Enéas-MG",0.1,0.1,"MG",100
"88","Claraval-MG",0.02,0.02,"MG",100
"89","Conquista-MG",0.06,0.06,"MG",100
"90","Delta-MG",0.01,0.01,"MG",100
"91","Igarapé-MG",0.01,0.01,"MG",100
"92","Itamogi-MG",0.02,0.02,"MG",100
"93","Juatuba-MG",0.01,0.01,"MG",100
"94","Mamonas-MG",0.03,0.03,"MG",100
"95","Nova Porteirinha-MG",0.01,0.01,"MG",100
"96","São Sebastião Do Paraíso-MG",0.08,0.08,"MG",100
"97","São Tomás De Aquino-MG",0.03,0.03,"MG",100
"98","Americana-SP",0.01,0.01,"SP",100
"99","Américo Brasiliense-SP",0.01,0.01,"SP",100
"100","Artur Nogueira-SP",0.02,0.02,"SP",100
"101","Barrinha-SP",0.01,0.01,"SP",100
"102","Bom Sucesso De Itararé-SP",0.01,0.01,"SP",100
"103","Cosmópolis-SP",0.02,0.02,"SP",100
"104","Cosmorama-SP",0.04,0.04,"SP",100
"105","Cravinhos-SP",0.03,0.03,"SP",100
"106","Dobrada-SP",0.01,0.01,"SP",100
"107","Dumont-SP",0.01,0.01,"SP",100
"108","Engenheiro Coelho-SP",0.01,0.01,"SP",100
"109","Guariba-SP",0.03,0.03,"SP",100
"110","Holambra-SP",0.01,0.01,"SP",100
"111","Igarapava-SP",0.05,0.05,"SP",100
"112","Ipiguá-SP",0.01,0.01,"SP",100
"113","Ipuã-SP",0.05,0.05,"SP",100
"114","Itápolis-SP",0.1,0.1,"SP",100
"115","Itirapuã-SP",0.02,0.02,"SP",100
"116","Itobi-SP",0.01,0.01,"SP",100
"117","Jaborandi-SP",0.03,0.03,"SP",100
"118","Jaguariúna-SP",0.01,0.01,"SP",100
"119","Jardinópolis-SP",0.05,0.05,"SP",100
"120","Matão-SP",0.05,0.05,"SP",100
"121","Mirassolândia-SP",0.02,0.02,"SP",100
"122","Morro Agudo-SP",0.14,0.14,"SP",100
"123","Motuca-SP",0.02,0.02,"SP",100
"124","Onda Verde-SP",0.02,0.02,"SP",100
"125","Orindiúva-SP",0.02,0.02,"SP",100
"126","Paulínia-SP",0.01,0.01,"SP",100
"127","Pontal-SP",0.04,0.04,"SP",100
"128","Restinga-SP",0.02,0.02,"SP",100
"129","Ribeirão Corrente-SP",0.01,0.01,"SP",100
"130","Santa Cruz Da Esperança-SP",0.01,0.01,"SP",100
"131","Santa Ernestina-SP",0.01,0.01,"SP",100
"132","São Joaquim Da Barra-SP",0.04,0.04,"SP",100
"133","Sebastianópolis Do Sul-SP",0.02,0.02,"SP",100
"134","Serrana-SP",0.01,0.01,"SP",100
"135","Sertãozinho-SP",0.04,0.04,"SP",100
"136","Tabatinga-SP",0.04,0.04,"SP",100
"137","Tanabi-SP",0.07,0.07,"SP",100
"138","Taquarivaí-SP",0.02,0.02,"SP",100
"139","Terra Roxa-SP",0.02,0.02,"SP",100
"140","Torrinha-SP",0.03,0.03,"SP",100
"141","Valentim Gentil-SP",0.01,0.01,"SP",100
"142","Votuporanga-SP",0.04,0.04,"SP",100
"143","Arroio Do Sal-RS",0.01,0.01,"RS",100
"144","Augusto Pestana-RS",0.03,0.03,"RS",100
"145","Boa Vista Das Missões-RS",0.02,0.02,"RS",100
"146","Campinas Do Sul-RS",0.03,0.03,"RS",100
"147","Capão Da Canoa-RS",0.01,0.01,"RS",100
"148","Chiapetta-RS",0.04,0.04,"RS",100
"149","Coxilha-RS",0.04,0.04,"RS",100
"150","Dois Irmãos Das Missões-RS",0.02,0.02,"RS",100
"151","Entre Rios Do Sul-RS",0.01,0.01,"RS",100
"152","Inhacorá-RS",0.01,0.01,"RS",100
"153","Ipiranga Do Sul-RS",0.02,0.02,"RS",100
"154","Novo Hamburgo-RS",0.02,0.02,"RS",100
"155","Pontão-RS",0.05,0.05,"RS",100
"156","Ronda Alta-RS",0.04,0.04,"RS",100
"157","São Leopoldo-RS",0.01,0.01,"RS",100
"158","Senador Salgado Filho-RS",0.01,0.01,"RS",100
"159","Tabaí-RS",0.01,0.01,"RS",100
"160","Ubiretama-RS",0.01,0.01,"RS",100
"161","Coronel Sapucaia-MS",0.1,0.1,"MS",100
"162","Buritirama-BA",0.4,0.39,"BA",97.5
"163","Muquém De São Francisco-BA",0.37,0.36,"BA",97.3
"164","Santana-BA",0.18,0.17,"BA",94.44
"165","Barras-PI",0.17,0.16,"PI",94.12
"166","Aral Moreira-MS",0.17,0.16,"MS",94.12
"167","Wanderley-BA",0.3,0.28,"BA",93.33
"168","Pedras De Maria Da Cruz-MG",0.15,0.14,"MG",93.33
"169","Serra Dourada-BA",0.14,0.13,"BA",92.86
"170","Júlio Borges-PI",0.13,0.12,"PI",92.31
"171","Valença Do Piauí-PI",0.13,0.12,"PI",92.31
"172","Juvenília-MG",0.11,0.1,"MG",90.91
"173","Altos-PI",0.1,0.09,"PI",90
"174","Santa Bárbara Do Sul-RS",0.1,0.09,"RS",90
"175","Floriano-PI",0.34,0.3,"PI",88.24
"176","José De Freitas-PI",0.15,0.13,"PI",86.67
"177","Angical-BA",0.15,0.13,"BA",86.67
"178","Luzilândia-PI",0.07,0.06,"PI",85.71
"179","Piripiri-PI",0.14,0.12,"PI",85.71
"180","Brejolândia-BA",0.28,0.24,"BA",85.71
"181","Ituverava-SP",0.07,0.06,"SP",85.71
"182","Paulo De Faria-SP",0.07,0.06,"SP",85.71
"183","Carazinho-RS",0.07,0.06,"RS",85.71
"184","Palmeira Das Missões-RS",0.14,0.12,"RS",85.71
"185","Paranhos-MS",0.13,0.11,"MS",84.62
"186","Guaraci-SP",0.06,0.05,"SP",83.33
"187","Limeira-SP",0.06,0.05,"SP",83.33
"188","Taquaritinga-SP",0.06,0.05,"SP",83.33
"189","Curimatá-PI",0.23,0.19,"PI",82.61
"190","Parnaguá-PI",0.34,0.28,"PI",82.35
"191","Laguna Carapã-MS",0.17,0.14,"MS",82.35
"192","Eliseu Martins-PI",0.11,0.09,"PI",81.82
"193","Janaúba-MG",0.22,0.18,"MG",81.82
"194","Campo Largo Do Piauí-PI",0.05,0.04,"PI",80
"195","Castelo Do Piauí-PI",0.2,0.16,"PI",80
"196","Bezerros-PE",0.05,0.04,"PE",80
"197","Garanhuns-PE",0.05,0.04,"PE",80
"198","Água Comprida-MG",0.05,0.04,"MG",80
"199","Mato Verde-MG",0.05,0.04,"MG",80
"200","Moji Mirim-SP",0.05,0.04,"SP",80
"201","Nova Granada-SP",0.05,0.04,"SP",80
"202","Piracuruca-PI",0.24,0.19,"PI",79.17
"203","Giruá-RS",0.09,0.07,"RS",77.78
"204","Regeneração-PI",0.13,0.1,"PI",76.92
"205","Juazeiro Do Piauí-PI",0.08,0.06,"PI",75
"206","Nazária-PI",0.04,0.03,"PI",75
"207","Panelas-PE",0.04,0.03,"PE",75
"208","Igreja Nova-AL",0.04,0.03,"AL",75
"209","Igaporã-BA",0.08,0.06,"BA",75
"210","Campos Gerais-MG",0.08,0.06,"MG",75
"211","Patis-MG",0.04,0.03,"MG",75
"212","Álvares Florence-SP",0.04,0.03,"SP",75
"213","Guará-SP",0.04,0.03,"SP",75
"214","Pitangueiras-SP",0.04,0.03,"SP",75
"215","São José Da Boa Vista-PR",0.04,0.03,"PR",75
"216","Independência-RS",0.04,0.03,"RS",75
"217","Passo Fundo-RS",0.08,0.06,"RS",75
"218","Montezuma-MG",0.11,0.08,"MG",72.73
"219","Ibitinga-SP",0.07,0.05,"SP",71.43
"220","Jaboticabal-SP",0.07,0.05,"SP",71.43
"221","Palestina-SP",0.07,0.05,"SP",71.43
"222","Ribeirão Preto-SP",0.07,0.05,"SP",71.43
"223","Chapada-RS",0.07,0.05,"RS",71.43
"224","Inaciolândia-GO",0.07,0.05,"GO",71.43
"225","Limeira Do Oeste-MG",0.13,0.09,"MG",69.23
"226","Guaíra-SP",0.13,0.09,"SP",69.23
"227","Brasileira-PI",0.09,0.06,"PI",66.67
"228","Porto-PI",0.03,0.02,"PI",66.67
"229","Passira-PE",0.03,0.02,"PE",66.67
"230","São João-PE",0.03,0.02,"PE",66.67
"231","Itabaiana-SE",0.03,0.02,"SE",66.67
"232","Ribeirópolis-SE",0.03,0.02,"SE",66.67
"233","Campo Do Meio-MG",0.03,0.02,"MG",66.67
"234","Capinópolis-MG",0.06,0.04,"MG",66.67
"235","Coqueiral-MG",0.03,0.02,"MG",66.67
"236","Itacarambi-MG",0.12,0.08,"MG",66.67
"237","Mateus Leme-MG",0.03,0.02,"MG",66.67
"238","Monte Santo De Minas-MG",0.06,0.04,"MG",66.67
"239","Pirajuba-MG",0.03,0.02,"MG",66.67
"240","Altair-SP",0.03,0.02,"SP",66.67
"241","Américo De Campos-SP",0.03,0.02,"SP",66.67
"242","Arandu-SP",0.03,0.02,"SP",66.67
"243","Borborema-SP",0.06,0.04,"SP",66.67
"244","Brodowski-SP",0.03,0.02,"SP",66.67
"245","Dois Córregos-SP",0.06,0.04,"SP",66.67
"246","Magda-SP",0.03,0.02,"SP",66.67
"247","Monte Alto-SP",0.03,0.02,"SP",66.67
"248","Nuporanga-SP",0.03,0.02,"SP",66.67
"249","Orlândia-SP",0.03,0.02,"SP",66.67
"250","Rincão-SP",0.03,0.02,"SP",66.67
"251","Sales Oliveira-SP",0.03,0.02,"SP",66.67
"252","Santa Adélia-SP",0.03,0.02,"SP",66.67
"253","São José Da Bela Vista-SP",0.03,0.02,"SP",66.67
"254","São Pedro-SP",0.06,0.04,"SP",66.67
"255","Almirante Tamandaré Do Sul-RS",0.03,0.02,"RS",66.67
"256","Coqueiros Do Sul-RS",0.03,0.02,"RS",66.67
"257","Nova Ramada-RS",0.03,0.02,"RS",66.67
"258","Pirapó-RS",0.03,0.02,"RS",66.67
"259","Quatro Irmãos-RS",0.03,0.02,"RS",66.67
"260","Caetité-BA",0.25,0.16,"BA",64
"261","Barra-BA",1.15,0.73,"BA",63.48
"262","Varzelândia-MG",0.08,0.05,"MG",62.5
"263","Verdelândia-MG",0.16,0.1,"MG",62.5
"264","Miguelópolis-SP",0.08,0.05,"SP",62.5
"265","Gouvelândia-GO",0.08,0.05,"GO",62.5
"266","Conceição Das Alagoas-MG",0.13,0.08,"MG",61.54
"267","Murici Dos Portelas-PI",0.05,0.03,"PI",60
"268","Gravatá-PE",0.05,0.03,"PE",60
"269","Cordeiros-BA",0.05,0.03,"BA",60
"270","Morro Do Pilar-MG",0.05,0.03,"MG",60
"271","Vargem Grande Do Rio Pardo-MG",0.05,0.03,"MG",60
"272","Avaí-SP",0.05,0.03,"SP",60
"273","São João Da Boa Vista-SP",0.05,0.03,"SP",60
"274","Condor-RS",0.05,0.03,"RS",60
"275","Coronel Bicaco-RS",0.05,0.03,"RS",60
"276","Santo Augusto-RS",0.05,0.03,"RS",60
"277","Cachoeira Dourada-GO",0.05,0.03,"GO",60
"278","Amambai-MS",0.42,0.25,"MS",59.52
"279","Canavieira-PI",0.22,0.13,"PI",59.09
"280","Amarante-PI",0.12,0.07,"PI",58.33
"281","São João Da Ponte-MG",0.19,0.11,"MG",57.89
"282","Itaueira-PI",0.26,0.15,"PI",57.69
"283","Milton Brandão-PI",0.14,0.08,"PI",57.14
"284","Morro Cabeça No Tempo-PI",0.21,0.12,"PI",57.14
"285","Gararu-SE",0.07,0.04,"SE",57.14
"286","Água Fria-BA",0.07,0.04,"BA",57.14
"287","Tanque Novo-BA",0.07,0.04,"BA",57.14
"288","Francisco Sá-MG",0.28,0.16,"MG",57.14
"289","São João Das Missões-MG",0.07,0.04,"MG",57.14
"290","Fortaleza Dos Valos-RS",0.07,0.04,"RS",57.14
"291","Santo Ângelo-RS",0.07,0.04,"RS",57.14
"292","Batatais-SP",0.09,0.05,"SP",55.56
"293","Itaberá-SP",0.11,0.06,"SP",54.55
"294","Nazaré Do Piauí-PI",0.13,0.07,"PI",53.85
"295","São Miguel Do Tapuio-PI",0.52,0.28,"PI",53.85
"296","Jaíba-MG",0.26,0.14,"MG",53.85
"297","Santa Terezinha-MT",0.65,0.35,"MT",53.85
"298","Augustinópolis-TO",0.04,0.02,"TO",50
"299","Colônia Do Gurguéia-PI",0.04,0.02,"PI",50
"300","Demerval Lobão-PI",0.02,0.01,"PI",50
"301","Lagoa Alegre-PI",0.04,0.02,"PI",50
"302","Madeiro-PI",0.02,0.01,"PI",50
"303","Manoel Emídio-PI",0.16,0.08,"PI",50
"304","Matias Olímpio-PI",0.02,0.01,"PI",50
"305","Parnaíba-PI",0.04,0.02,"PI",50
"306","São João Do Arraial-PI",0.02,0.01,"PI",50
"307","Tanque Do Piauí-PI",0.04,0.02,"PI",50
"308","Rio Do Fogo-RN",0.02,0.01,"RN",50
"309","Pedro Velho-RN",0.02,0.01,"RN",50
"310","Araçagi-PB",0.02,0.01,"PB",50
"311","Mogeiro-PB",0.02,0.01,"PB",50
"312","Natuba-PB",0.02,0.01,"PB",50
"313","Salgado De São Félix-PB",0.02,0.01,"PB",50
"314","Agrestina-PE",0.02,0.01,"PE",50
"315","Bom Conselho-PE",0.08,0.04,"PE",50
"316","Bom Jardim-PE",0.02,0.01,"PE",50
"317","Lagoa Do Ouro-PE",0.02,0.01,"PE",50
"318","Lagoa Dos Gatos-PE",0.02,0.01,"PE",50
"319","Lajedo-PE",0.02,0.01,"PE",50
"320","Campo Grande-AL",0.02,0.01,"AL",50
"321","Feira Grande-AL",0.02,0.01,"AL",50
"322","Porto Real Do Colégio-AL",0.02,0.01,"AL",50
"323","Taquarana-AL",0.02,0.01,"AL",50
"324","Aquidabã-SE",0.04,0.02,"SE",50
"325","Campo Do Brito-SE",0.02,0.01,"SE",50
"326","Feira Nova-SE",0.02,0.01,"SE",50
"327","Gracho Cardoso-SE",0.02,0.01,"SE",50
"328","Itabi-SE",0.02,0.01,"SE",50
"329","Acajutiba-BA",0.02,0.01,"BA",50
"330","Canápolis-BA",0.04,0.02,"BA",50
"331","Macaúbas-BA",0.3,0.15,"BA",50
"332","Poções-BA",0.08,0.04,"BA",50
"333","Santa Maria Da Vitória-BA",0.2,0.1,"BA",50
"334","Urandi-BA",0.1,0.05,"BA",50
"335","Arceburgo-MG",0.02,0.01,"MG",50
"336","Contagem-MG",0.02,0.01,"MG",50
"337","Florestal-MG",0.02,0.01,"MG",50
"338","Fronteira-MG",0.02,0.01,"MG",50
"339","Ibiracatu-MG",0.04,0.02,"MG",50
"340","Ibiraci-MG",0.06,0.03,"MG",50
"341","Itaú De Minas-MG",0.02,0.01,"MG",50
"342","Japonvar-MG",0.04,0.02,"MG",50
"343","Matias Cardoso-MG",0.2,0.1,"MG",50
"344","Pratápolis-MG",0.02,0.01,"MG",50
"345","Presidente Kubitschek-MG",0.02,0.01,"MG",50
"346","Santo Antônio Do Retiro-MG",0.08,0.04,"MG",50
"347","Serranópolis De Minas-MG",0.06,0.03,"MG",50
"348","Aramina-SP",0.02,0.01,"SP",50
"349","Bálsamo-SP",0.02,0.01,"SP",50
"350","Bocaina-SP",0.04,0.02,"SP",50
"351","Campina Do Monte Alegre-SP",0.02,0.01,"SP",50
"352","Cássia Dos Coqueiros-SP",0.02,0.01,"SP",50
"353","Cristais Paulista-SP",0.04,0.02,"SP",50
"354","Dourado-SP",0.02,0.01,"SP",50
"355","Espírito Santo Do Pinhal-SP",0.04,0.02,"SP",50
"356","Franca-SP",0.06,0.03,"SP",50
"357","Gavião Peixoto-SP",0.02,0.01,"SP",50
"358","Guatapará-SP",0.04,0.02,"SP",50
"359","Icém-SP",0.04,0.02,"SP",50
"360","Ipeúna-SP",0.02,0.01,"SP",50
"361","Itaju-SP",0.02,0.01,"SP",50
"362","Luís Antônio-SP",0.06,0.03,"SP",50
"363","Meridiano-SP",0.02,0.01,"SP",50
"364","Mineiros Do Tietê-SP",0.02,0.01,"SP",50
"365","Mogi Guaçu-SP",0.08,0.04,"SP",50
"366","Nova Europa-SP",0.02,0.01,"SP",50
"367","Pardinho-SP",0.02,0.01,"SP",50
"368","Patrocínio Paulista-SP",0.06,0.03,"SP",50
"369","Pindorama-SP",0.02,0.01,"SP",50
"370","Piratininga-SP",0.04,0.02,"SP",50
"371","Pontes Gestal-SP",0.02,0.01,"SP",50
"372","Porto Ferreira-SP",0.02,0.01,"SP",50
"373","Pradópolis-SP",0.02,0.01,"SP",50
"374","Rifaina-SP",0.02,0.01,"SP",50
"375","Santa Cruz Da Conceição-SP",0.02,0.01,"SP",50
"376","Santa Lúcia-SP",0.02,0.01,"SP",50
"377","Santo Antônio De Posse-SP",0.02,0.01,"SP",50
"378","São João De Iracema-SP",0.02,0.01,"SP",50
"379","Tambaú-SP",0.06,0.03,"SP",50
"380","Tarabai-SP",0.02,0.01,"SP",50
"381","Viradouro-SP",0.02,0.01,"SP",50
"382","Alegria-RS",0.02,0.01,"RS",50
"383","Campos Borges-RS",0.02,0.01,"RS",50
"384","Cândido Godói-RS",0.02,0.01,"RS",50
"385","Capela De Santana-RS",0.02,0.01,"RS",50
"386","Catuípe-RS",0.06,0.03,"RS",50
"387","Coronel Barros-RS",0.02,0.01,"RS",50
"388","Cruz Alta-RS",0.14,0.07,"RS",50
"389","Cruzaltense-RS",0.02,0.01,"RS",50
"390","Dezesseis De Novembro-RS",0.02,0.01,"RS",50
"391","Erebango-RS",0.02,0.01,"RS",50
"392","Ernestina-RS",0.02,0.01,"RS",50
"393","Jacutinga-RS",0.02,0.01,"RS",50
"394","Mato Castelhano-RS",0.02,0.01,"RS",50
"395","Montenegro-RS",0.04,0.02,"RS",50
"396","Nova Esperança Do Sul-RS",0.02,0.01,"RS",50
"397","Novo Cabrais-RS",0.02,0.01,"RS",50
"398","Pejuçara-RS",0.04,0.02,"RS",50
"399","Portão-RS",0.02,0.01,"RS",50
"400","Santo Antônio Do Planalto-RS",0.02,0.01,"RS",50
"401","Sarandi-RS",0.04,0.02,"RS",50
"402","Sertão-RS",0.04,0.02,"RS",50
"403","Taquari-RS",0.04,0.02,"RS",50
"404","Três De Maio-RS",0.04,0.02,"RS",50
"405","Três Palmeiras-RS",0.02,0.01,"RS",50
"406","Curvelândia-MT",0.04,0.02,"MT",50
"407","São José Do Rio Claro-MT",0.46,0.23,"MT",50
"408","Coribe-BA",0.25,0.12,"BA",48
"409","Alvorada Do Gurguéia-PI",0.21,0.1,"PI",47.62
"410","Carneirinho-MG",0.21,0.1,"MG",47.62
"411","Espinosa-MG",0.19,0.09,"MG",47.37
"412","Montalvânia-MG",0.15,0.07,"MG",46.67
"413","Guaribas-PI",0.31,0.14,"PI",45.16
"414","Rio Pardo De Minas-MG",0.31,0.14,"MG",45.16
"415","Sebastião Laranjeiras-BA",0.2,0.09,"BA",45
"416","Itapagipe-MG",0.18,0.08,"MG",44.44
"417","Porteirinha-MG",0.18,0.08,"MG",44.44
"418","Casa Branca-SP",0.09,0.04,"SP",44.44
"419","Mococa-SP",0.09,0.04,"SP",44.44
"420","Buriti Dos Lopes-PI",0.07,0.03,"PI",42.86
"421","Cotegipe-BA",0.42,0.18,"BA",42.86
"422","Rio Real-BA",0.07,0.03,"BA",42.86
"423","Cássia-MG",0.07,0.03,"MG",42.86
"424","Anhembi-SP",0.07,0.03,"SP",42.86
"425","Bauru-SP",0.07,0.03,"SP",42.86
"426","Cajuru-SP",0.07,0.03,"SP",42.86
"427","Pedregulho-SP",0.07,0.03,"SP",42.86
"428","Pirassununga-SP",0.07,0.03,"SP",42.86
"429","São João Do Paraíso-MG",0.19,0.08,"MG",42.11
"430","Aragominas-TO",0.12,0.05,"TO",41.67
"431","São Francisco Do Maranhão-MA",0.24,0.1,"MA",41.67
"432","Inhambupe-BA",0.12,0.05,"BA",41.67
"433","Juarina-TO",0.05,0.02,"TO",40
"434","Altinho-PE",0.05,0.02,"PE",40
"435","Palmeira Dos Índios-AL",0.05,0.02,"AL",40
"436","Itabaianinha-SE",0.05,0.02,"SE",40
"437","Caeté-MG",0.05,0.02,"MG",40
"438","Francisco Badaró-MG",0.05,0.02,"MG",40
"439","Monte Azul-MG",0.1,0.04,"MG",40
"440","Aguaí-SP",0.05,0.02,"SP",40
"441","Araraquara-SP",0.1,0.04,"SP",40
"442","Arealva-SP",0.05,0.02,"SP",40
"443","Cerqueira César-SP",0.05,0.02,"SP",40
"444","Itajobi-SP",0.05,0.02,"SP",40
"445","Itapira-SP",0.05,0.02,"SP",40
"446","Itararé-SP",0.1,0.04,"SP",40
"447","Monte Aprazível-SP",0.05,0.02,"SP",40
"448","Ribeirão Bonito-SP",0.05,0.02,"SP",40
"449","Gravataí-RS",0.05,0.02,"RS",40
"450","Pinhal Grande-RS",0.05,0.02,"RS",40
"451","Salto Do Jacuí-RS",0.05,0.02,"RS",40
"452","Serra Nova Dourada-MT",0.15,0.06,"MT",40
"453","Canto Do Buriti-PI",0.43,0.17,"PI",39.53
"454","São Francisco-MG",0.33,0.13,"MG",39.39
"455","Cocal-PI",0.13,0.05,"PI",38.46
"456","Caracol-PI",0.16,0.06,"PI",37.5
"457","Descalvado-SP",0.08,0.03,"SP",37.5
"458","Olímpia-SP",0.08,0.03,"SP",37.5
"459","Santa Rita Do Passa Quatro-SP",0.08,0.03,"SP",37.5
"460","Conceição Do Araguaia-PA",0.59,0.22,"PA",37.29
"461","Jerumenha-PI",0.19,0.07,"PI",36.84
"462","Quirinópolis-GO",0.38,0.14,"GO",36.84
"463","Pavussu-PI",0.11,0.04,"PI",36.36
"464","São Carlos-SP",0.11,0.04,"SP",36.36
"465","São José Do Norte-RS",0.11,0.04,"RS",36.36
"466","Bom Jesus Da Lapa-BA",0.42,0.15,"BA",35.71
"467","Piracicaba-SP",0.14,0.05,"SP",35.71
"468","Sengés-PR",0.14,0.05,"PR",35.71
"469","Nortelândia-MT",0.14,0.05,"MT",35.71
"470","Ibotirama-BA",0.17,0.06,"BA",35.29
"471","Manga-MG",0.2,0.07,"MG",35
"472","Barão De Grajaú-MA",0.23,0.08,"MA",34.78
"473","Araguatins-TO",0.26,0.09,"TO",34.62
"474","Mansidão-BA",0.32,0.11,"BA",34.38
"475","Floresta Do Araguaia-PA",0.35,0.12,"PA",34.29
"476","Ipiranga Do Norte-MT",0.35,0.12,"MT",34.29
"477","Juína-MT",2.63,0.9,"MT",34.22
"478","Buriti Do Tocantins-TO",0.03,0.01,"TO",33.33
"479","Fortaleza Do Tabocão-TO",0.06,0.02,"TO",33.33
"480","Lago Do Junco-MA",0.03,0.01,"MA",33.33
"481","Cajueiro Da Praia-PI",0.03,0.01,"PI",33.33
"482","Pedro Ii-PI",0.15,0.05,"PI",33.33
"483","Nísia Floresta-RN",0.03,0.01,"RN",33.33
"484","São José De Mipibu-RN",0.03,0.01,"RN",33.33
"485","Mamanguape-PB",0.03,0.01,"PB",33.33
"486","Sapé-PB",0.03,0.01,"PB",33.33
"487","Aliança-PE",0.03,0.01,"PE",33.33
